time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
4.540000,0.098075,0.133061,-0.135407,0.210214,-0.299650,0.128062
4.560000,0.099555,0.127347,-0.130957,0.206133,-0.299469,0.132049
4.580000,0.100485,0.121758,-0.127186,0.199192,-0.298814,0.135274
4.600000,0.100923,0.117534,-0.124582,0.193119,-0.297747,0.136725
4.620000,0.100836,0.115279,-0.123173,0.187179,-0.297251,0.136652
4.640000,0.100593,0.114086,-0.123057,0.183190,-0.297699,0.133969
4.660000,0.100360,0.113588,-0.124317,0.181809,-0.298241,0.130269
4.680000,0.099855,0.113321,-0.126610,0.180755,-0.298157,0.128656
4.700000,0.099300,0.112781,-0.129459,0.179098,-0.296943,0.129496
4.720000,0.098789,0.111879,-0.132940,0.176350,-0.294748,0.131458
4.740000,0.098325,0.111182,-0.137670,0.172182,-0.291960,0.133606
4.760000,0.098360,0.111683,-0.143799,0.168168,-0.289919,0.134361
4.780000,0.099206,0.114393,-0.152314,0.163863,-0.287930,0.134094
4.800000,0.101605,0.119406,-0.164063,0.159948,-0.286297,0.132936
4.820000,0.105399,0.125829,-0.177351,0.156415,-0.285242,0.129863
4.840000,0.110375,0.136306,-0.191757,0.154844,-0.285770,0.124395
4.860000,0.113523,0.148275,-0.200907,0.156388,-0.288615,0.114085
4.880000,0.119396,0.153634,-0.200771,0.162282,-0.292956,0.098907
4.900000,0.124748,0.151003,-0.196755,0.174692,-0.297937,0.082695
4.920000,0.128492,0.152864,-0.194993,0.185002,-0.299715,0.065457
4.940000,0.131127,0.155724,-0.196439,0.191026,-0.297050,0.058360
4.960000,0.131619,0.156475,-0.198289,0.197515,-0.292697,0.056183
4.980000,0.131535,0.155774,-0.197841,0.203139,-0.290538,0.051290
5.000000,0.131599,0.154833,-0.196679,0.204717,-0.290302,0.044556
5.020000,0.131831,0.154825,-0.196128,0.203835,-0.289903,0.039982
5.040000,0.132543,0.154626,-0.196224,0.202486,-0.288545,0.036395
5.060000,0.133689,0.154353,-0.195943,0.201479,-0.288087,0.033169
5.080000,0.133918,0.153833,-0.195921,0.201029,-0.287428,0.030509
5.100000,0.133601,0.153374,-0.195665,0.201844,-0.286618,0.028355
5.120000,0.133079,0.152886,-0.195620,0.203082,-0.285664,0.025725
5.140000,0.132771,0.152556,-0.195486,0.204054,-0.284688,0.023001
5.160000,0.132551,0.152122,-0.195547,0.204046,-0.283550,0.021005
5.180000,0.132153,0.151618,-0.195345,0.203473,-0.283024,0.019739
